Gene,Entity_type,N_regions,Total_bases,Mean_coverage,Median_coverage,Min_region_coverage,Low_regions_any,Recurrent_low_regions,Est_pct_bases_ge20,Est_pct_bases_low20,Default_status
A1BG,Gene symbol,9,1575.0,70.37,65.29,19.53,1,1,0.99,0.01,OK
A1CF,Gene symbol,12,1908.0,139.6,128.24,86.88,0,0,1.0,0.0,OK
A2M,Gene symbol,36,4556.0,123.97,121.76,66.0,0,0,1.0,0.0,OK
A2ML1,Gene symbol,55,4567.0,86.62,105.94,0.0,19,19,1.0,0.0,FAIL
A3GALT2,Gene symbol,5,1023.0,91.95,80.12,41.82,1,0,1.0,0.0,OK
A4GALT,Gene symbol,1,1062.0,335.18,335.18,335.18,0,0,1.0,0.0,OK
A4GNT,Gene symbol,2,1023.0,337.97,337.97,319.0,0,0,1.0,0.0,OK
AAAS,Gene symbol,27,1701.0,70.84,88.88,0.12,11,11,0.99,0.01,FAIL
AACS,Gene symbol,19,2294.0,122.32,98.06,67.88,0,0,1.0,0.0,OK
AADAC,Gene symbol,5,1212.0,177.34,132.71,79.29,0,0,1.0,0.0,OK
AADACL2,Gene symbol,5,1206.0,208.91,143.35,123.29,0,0,1.0,0.0,OK
AADACL3,Gene symbol,4,1224.0,240.54,189.59,88.47,0,0,1.0,0.0,OK
AADACL4,Gene symbol,4,1224.0,258.47,169.59,152.47,0,0,1.0,0.0,OK
AADAT,Gene symbol,16,1471.0,154.45,166.65,37.0,1,0,1.0,0.0,OK
AAGAB,Gene symbol,12,1086.0,142.03,139.56,28.41,1,0,0.99,0.01,OK
AAK1,Gene symbol,25,4143.0,127.15,127.24,1.76,1,1,1.0,0.0,OK
AAMDC,Gene symbol,14,1386.0,133.42,136.41,2.94,2,2,0.99,0.01,WARNING
AAMP,Gene symbol,11,1422.0,97.36,93.59,51.47,0,0,1.0,0.0,OK
AANAT,Gene symbol,4,854.0,116.62,103.38,66.53,0,0,1.0,0.0,OK
AAR2,Gene symbol,3,1155.0,197.0,163.24,133.47,0,0,1.0,0.0,OK
AARD,Gene symbol,2,552.0,151.26,151.26,132.35,0,0,1.0,0.0,OK
AARS1,Gene symbol,40,3144.0,72.93,75.0,0.0,14,14,1.0,0.0,FAIL
AARS2,Gene symbol,56,3001.0,37.66,17.62,0.18,32,29,0.99,0.01,FAIL
AARSD1,Gene symbol,12,1245.0,126.88,129.18,63.12,0,0,1.0,0.0,OK
AASDH,Gene symbol,14,3335.0,217.84,189.88,117.47,0,0,1.0,0.0,OK
AASDHPPT,Gene symbol,6,930.0,131.16,140.74,67.65,0,0,1.0,0.0,OK
AASS,Gene symbol,26,2863.0,113.61,119.24,0.94,2,2,0.99,0.01,WARNING
AATF,Gene symbol,12,1687.0,160.6,144.62,85.35,0,0,1.0,0.0,OK
AATK,Gene symbol,16,4224.0,103.26,85.97,15.82,2,1,0.99,0.01,OK
ABAT,Gene symbol,88,1705.0,35.76,11.91,0.06,63,57,0.97,0.03,FAIL
ABCA1,Gene symbol,139,7370.0,57.51,24.82,0.0,75,69,0.99,0.01,FAIL
ABCA10,Gene symbol,42,4729.0,135.49,137.12,0.65,3,2,1.0,0.0,WARNING
ABCA11P,Gene symbol,3,179.0,147.82,159.76,100.76,0,0,1.0,0.0,OK
ABCA12,Gene symbol,92,7982.0,84.65,107.03,0.0,37,36,1.0,0.0,FAIL
ABCA13,Gene symbol,75,15505.0,189.75,136.59,5.41,2,2,1.0,0.0,WARNING
ABCA17P,Gene symbol,2,260.0,42.29,42.29,1.24,1,1,1.0,0.0,WARNING
ABCA2,Gene symbol,51,7619.0,86.5,87.76,3.71,2,1,1.0,0.0,OK
ABCA3,Gene symbol,81,5188.0,45.56,13.82,0.0,48,45,0.99,0.01,FAIL
ABCA4,Gene symbol,153,7221.0,46.81,5.29,0.0,95,94,0.99,0.01,FAIL
ABCA5,Gene symbol,39,5000.0,169.1,171.59,69.29,0,0,1.0,0.0,OK
ABCA6,Gene symbol,38,4952.0,150.55,151.38,84.35,0,0,1.0,0.0,OK
ABCA7,Gene symbol,48,6646.0,86.19,80.91,0.29,4,2,1.0,0.0,WARNING
ABCA8,Gene symbol,39,5108.0,149.97,150.76,59.12,0,0,1.0,0.0,OK
ABCA9,Gene symbol,41,5003.0,145.44,148.41,67.24,0,0,1.0,0.0,OK
ABCB1,Gene symbol,387,4466.0,29.64,3.94,0.0,310,294,0.93,0.07,FAIL
ABCB10,Gene symbol,17,2217.0,95.51,96.35,5.82,3,1,0.95,0.05,OK
ABCB11,Gene symbol,65,4287.0,63.48,53.76,0.0,32,32,0.99,0.01,FAIL
ABCB4,Gene symbol,54,4256.0,79.88,78.82,0.0,21,21,1.0,0.0,FAIL
ABCB5,Gene symbol,30,3822.0,151.88,153.03,85.47,0,0,1.0,0.0,OK
ABCB6,Gene symbol,21,2540.0,101.08,102.47,0.65,2,2,1.0,0.0,WARNING
ABCB7,Gene symbol,25,2322.0,87.54,106.12,0.12,7,6,0.99,0.01,WARNING
ABCB8,Gene symbol,21,2533.0,80.32,76.71,13.24,2,2,0.99,0.01,WARNING
ABCB9,Gene symbol,14,2508.0,110.08,92.71,46.65,0,0,1.0,0.0,OK
ABCC1,Gene symbol,54,4704.0,96.32,91.5,1.41,9,6,0.99,0.01,WARNING
ABCC10,Gene symbol,25,5094.0,119.64,102.94,42.71,1,0,1.0,0.0,OK
ABCC11,Gene symbol,31,4204.0,112.94,109.59,59.35,0,0,1.0,0.0,OK
ABCC12,Gene symbol,29,4088.0,138.12,143.53,66.65,0,0,1.0,0.0,OK
ABCC2,Gene symbol,67,4802.0,82.88,86.06,0.0,28,28,0.99,0.01,FAIL
ABCC3,Gene symbol,35,5199.0,117.3,116.41,32.82,2,0,1.0,0.0,OK
ABCC4,Gene symbol,43,4106.0,134.77,139.76,24.41,2,1,1.0,0.0,OK
ABCC5,Gene symbol,39,4945.0,116.52,119.35,27.71,1,0,1.0,0.0,OK
ABCC6,Gene symbol,57,4748.0,50.27,34.18,0.0,31,28,0.97,0.03,FAIL
ABCC8,Gene symbol,94,5697.0,56.41,31.29,0.0,49,47,0.99,0.01,FAIL
ABCC9,Gene symbol,86,4997.0,68.14,8.03,0.0,44,44,0.99,0.01,FAIL
ABCD1,Gene symbol,25,2421.0,39.3,3.47,0.0,15,14,0.99,0.01,FAIL
ABCD2,Gene symbol,12,2270.0,165.4,136.44,92.0,0,0,1.0,0.0,OK
ABCD3,Gene symbol,27,2151.0,125.41,130.71,42.71,1,0,1.0,0.0,OK
ABCD4,Gene symbol,23,2047.0,89.58,92.24,1.18,4,4,1.0,0.0,WARNING
ABCE1,Gene symbol,19,1803.0,112.7,106.18,1.59,3,2,0.99,0.01,WARNING
ABCF1,Gene symbol,25,2541.0,113.33,101.0,46.0,0,0,1.0,0.0,OK
ABCF2,Gene symbol,15,1872.0,135.03,140.06,73.59,0,0,1.0,0.0,OK
ABCF2-H2BK1,Gene symbol,2,456.0,114.18,114.18,96.47,0,0,1.0,0.0,OK
ABCF3,Gene symbol,23,2148.0,89.33,87.06,9.24,1,1,1.0,0.0,OK
ABCG1,Gene symbol,21,2910.0,114.46,121.24,45.0,0,0,1.0,0.0,OK
ABCG2,Gene symbol,26,1979.0,123.31,122.38,37.94,1,0,1.0,0.0,OK
ABCG4,Gene symbol,16,2042.0,108.2,107.06,73.06,0,0,1.0,0.0,OK
ABCG5,Gene symbol,37,2299.0,66.11,31.71,0.0,18,15,0.99,0.01,FAIL
ABCG8,Gene symbol,45,2055.0,30.86,5.12,0.0,32,30,0.98,0.02,FAIL
ABHD1,Gene symbol,9,1343.0,136.29,116.88,88.82,0,0,1.0,0.0,OK
ABHD10,Gene symbol,6,963.0,160.0,160.0,53.94,0,0,1.0,0.0,OK
ABHD11,Gene symbol,6,1673.0,143.22,115.29,27.82,1,1,0.98,0.02,OK
ABHD12,Gene symbol,46,2381.0,54.6,37.15,0.12,23,21,0.97,0.03,FAIL
ABHD12B,Gene symbol,13,1089.0,131.62,138.35,18.06,1,1,0.94,0.06,OK
ABHD13,Gene symbol,1,1014.0,603.29,603.29,603.29,0,0,1.0,0.0,OK
ABHD14A,Gene symbol,5,816.0,91.91,89.12,65.12,0,0,1.0,0.0,OK
ABHD14A-ACY1,Gene symbol,1,24.0,99.0,99.0,99.0,0,0,1.0,0.0,OK
ABHD14B,Gene symbol,7,1100.0,83.3,77.0,51.47,1,0,1.0,0.0,OK
ABHD15,Gene symbol,2,1407.0,212.06,212.06,210.24,0,0,1.0,0.0,OK
ABHD16A,Gene symbol,21,1834.0,91.03,98.35,34.0,1,0,1.0,0.0,OK
ABHD16B,Gene symbol,1,1410.0,327.76,327.76,327.76,0,0,1.0,0.0,OK
ABHD17A,Gene symbol,8,1108.0,51.49,45.15,30.0,1,0,1.0,0.0,WARNING
ABHD17B,Gene symbol,4,898.0,206.04,162.38,143.24,0,0,1.0,0.0,OK
ABHD17C,Gene symbol,4,990.0,90.47,86.0,27.06,1,1,0.95,0.05,OK
ABHD18,Gene symbol,13,1446.0,140.42,136.59,70.41,0,0,1.0,0.0,OK
ABHD2,Gene symbol,9,1278.0,136.09,138.82,111.35,0,0,1.0,0.0,OK
ABHD3,Gene symbol,12,1333.0,126.99,139.94,31.53,0,0,1.0,0.0,OK
ABHD4,Gene symbol,8,1060.0,110.47,99.44,85.65,0,0,1.0,0.0,OK
ABHD5,Gene symbol,82,1265.0,37.06,14.0,0.0,56,47,0.88,0.12,FAIL
ABHD6,Gene symbol,9,1054.0,125.31,133.76,79.06,0,0,1.0,0.0,OK
ABHD8,Gene symbol,6,1426.0,114.84,117.82,27.94,1,0,1.0,0.0,OK
ABI1,Gene symbol,16,1640.0,128.11,127.26,43.59,1,0,1.0,0.0,OK
ABI2,Gene symbol,24,2244.0,116.12,97.94,51.94,0,0,1.0,0.0,OK
ABI3,Gene symbol,8,1130.0,73.34,63.09,38.65,0,0,1.0,0.0,OK
ABI3BP,Gene symbol,70,5533.0,127.07,128.94,50.76,0,0,1.0,0.0,OK
ABITRAM,Gene symbol,6,546.0,137.96,142.21,53.59,0,0,1.0,0.0,OK
ABL1,Gene symbol,13,3628.0,137.43,112.47,66.18,0,0,1.0,0.0,OK
ABL2,Gene symbol,15,3922.0,159.66,121.71,88.76,0,0,1.0,0.0,OK
ABLIM1,Gene symbol,35,3068.0,118.83,119.12,22.29,1,1,0.99,0.01,OK
ABLIM2,Gene symbol,24,2197.0,106.79,98.56,40.94,0,0,1.0,0.0,OK
ABLIM3,Gene symbol,26,2537.0,112.95,106.06,52.41,0,0,1.0,0.0,OK
ABO,Gene symbol,11,1125.0,85.51,63.29,9.71,3,3,0.96,0.04,WARNING
ABR,Gene symbol,34,4599.0,110.15,104.91,32.88,2,1,0.99,0.01,OK
ABRA,Gene symbol,2,1146.0,286.12,286.12,285.88,0,0,1.0,0.0,OK
ABRACL,Gene symbol,2,389.0,197.24,197.24,190.59,0,0,1.0,0.0,OK
ABRAXAS1,Gene symbol,16,1724.0,121.59,108.56,0.35,4,4,1.0,0.0,WARNING
ABRAXAS2,Gene symbol,9,1248.0,168.73,168.29,69.94,0,0,1.0,0.0,OK
ABT1,Gene symbol,3,819.0,82.12,87.65,62.24,0,0,1.0,0.0,OK
ABTB1,Gene symbol,13,1598.0,91.43,80.88,45.12,0,0,1.0,0.0,OK
ABTB2,Gene symbol,17,3078.0,103.67,84.47,61.41,0,0,1.0,0.0,OK
ACAA1,Gene symbol,13,1313.0,112.95,95.53,60.59,0,0,1.0,0.0,OK
ACAA2,Gene symbol,12,1201.0,104.51,117.82,19.59,1,1,0.98,0.02,OK
ACACA,Gene symbol,68,8270.0,136.09,134.79,8.29,1,1,1.0,0.0,OK
ACACB,Gene symbol,54,7507.0,115.29,107.62,40.29,1,0,1.0,0.0,OK
ACAD10,Gene symbol,20,3201.0,117.22,113.12,44.94,0,0,1.0,0.0,OK
ACAD11,Gene symbol,26,3519.0,132.31,132.74,34.41,1,0,1.0,0.0,OK
ACAD8,Gene symbol,36,2080.0,67.21,43.06,0.0,17,16,0.99,0.01,FAIL
ACAD9,Gene symbol,40,2371.0,66.34,54.03,0.12,16,16,0.99,0.01,FAIL
ACADL,Gene symbol,13,1308.0,122.03,135.94,43.24,0,0,1.0,0.0,OK
ACADM,Gene symbol,53,1496.0,44.88,6.47,0.0,35,34,0.96,0.04,FAIL
ACADS,Gene symbol,29,1403.0,31.62,11.35,0.0,19,17,0.98,0.02,FAIL
ACADSB,Gene symbol,54,1348.0,56.18,26.71,0.06,29,27,0.98,0.02,FAIL
ACADVL,Gene symbol,76,2655.0,36.38,3.68,0.0,52,52,0.98,0.02,FAIL
ACAN,Gene symbol,20,8113.0,185.12,117.26,0.35,2,2,1.0,0.0,WARNING
ACAP1,Gene symbol,22,2223.0,87.74,81.21,48.06,0,0,1.0,0.0,OK
ACAP2,Gene symbol,29,2744.0,148.47,136.24,27.94,1,0,1.0,0.0,OK
ACAP3,Gene symbol,26,2629.0,65.05,55.53,25.88,2,2,0.99,0.01,WARNING
ACAT1,Gene symbol,30,1398.0,61.34,22.47,0.0,16,15,0.99,0.01,FAIL
ACAT2,Gene symbol,10,1336.0,120.22,127.56,61.88,0,0,1.0,0.0,OK
ACBD3,Gene symbol,8,1587.0,135.58,136.65,49.47,0,0,1.0,0.0,OK
ACBD4,Gene symbol,11,1231.0,87.7,91.0,33.06,1,0,0.99,0.01,OK
ACBD5,Gene symbol,18,1872.0,116.43,117.91,0.24,2,2,1.0,0.0,WARNING
ACBD6,Gene symbol,19,964.0,61.97,36.59,3.24,9,6,0.99,0.01,WARNING
ACBD7,Gene symbol,4,267.0,111.5,107.0,92.41,0,0,1.0,0.0,OK
ACBD7-DCLRE1CP1,Gene symbol,1,231.0,147.18,147.18,147.18,0,0,1.0,0.0,OK
ACCS,Gene symbol,15,1885.0,95.48,94.65,41.47,0,0,1.0,0.0,OK
ACCSL,Gene symbol,19,2077.0,109.08,105.41,14.65,1,1,0.99,0.01,OK
ACD,Gene symbol,12,1640.0,72.57,70.35,31.18,1,0,0.99,0.01,OK
ACE,Gene symbol,58,4857.0,68.51,53.35,0.0,26,24,0.99,0.01,FAIL
ACE2,Gene symbol,21,2454.0,123.48,117.41,64.94,1,0,1.0,0.0,OK
ACE3P,Gene symbol,3,251.0,135.57,119.94,94.24,0,0,1.0,0.0,OK
ACER1,Gene symbol,6,795.0,103.88,104.91,47.59,0,0,1.0,0.0,OK
ACER2,Gene symbol,9,895.0,132.46,113.0,25.59,2,0,0.98,0.02,OK
ACER3,Gene symbol,15,925.0,140.7,158.53,13.53,1,1,1.0,0.0,OK
ACHE,Gene symbol,7,2654.0,133.97,55.12,12.65,1,1,0.98,0.02,OK
ACIN1,Gene symbol,24,4538.0,153.26,124.88,60.53,0,0,1.0,0.0,OK
ACKR1,Gene symbol,2,1038.0,208.91,208.91,56.82,0,0,1.0,0.0,OK
ACKR2,Gene symbol,2,1299.0,321.47,321.47,115.88,0,0,1.0,0.0,OK
ACKR3,Gene symbol,1,1089.0,510.71,510.71,510.71,0,0,1.0,0.0,OK
ACLY,Gene symbol,29,3468.0,120.66,121.41,49.76,0,0,1.0,0.0,OK
ACMSD,Gene symbol,12,1054.0,110.66,112.15,1.0,1,1,1.0,0.0,OK
ACO1,Gene symbol,20,2670.0,127.03,127.94,67.35,0,0,1.0,0.0,OK
ACO2,Gene symbol,19,2420.0,106.54,112.65,0.06,1,1,1.0,0.0,OK
ACOD1,Gene symbol,5,1458.0,194.49,122.76,71.65,0,0,1.0,0.0,OK
ACOT1,Gene symbol,4,1372.0,58.74,67.35,23.0,4,4,0.56,0.44,WARNING
ACOT11,Gene symbol,27,3738.0,117.33,92.76,2.06,1,1,1.0,0.0,OK
ACOT12,Gene symbol,15,1676.0,134.87,128.35,41.12,0,0,1.0,0.0,OK
ACOT13,Gene symbol,4,435.0,163.74,146.47,118.82,0,0,1.0,0.0,OK
ACOT2,Gene symbol,3,1452.0,210.25,203.24,126.29,0,0,1.0,0.0,OK
ACOT4,Gene symbol,3,1266.0,194.73,129.41,74.41,0,0,1.0,0.0,OK
ACOT6,Gene symbol,3,1380.0,203.39,151.76,113.47,0,0,1.0,0.0,OK
ACOT7,Gene symbol,14,1470.0,91.32,93.5,29.18,1,0,1.0,0.0,OK
ACOT8,Gene symbol,10,1121.0,77.18,70.76,27.59,1,1,0.99,0.01,OK
ACOT9,Gene symbol,16,1370.0,117.21,116.0,33.0,1,0,1.0,0.0,OK
ACOX1,Gene symbol,85,2402.0,49.26,16.88,0.24,54,51,0.98,0.02,FAIL
ACOX2,Gene symbol,16,2169.0,119.43,108.26,75.71,0,0,1.0,0.0,OK
ACOX3,Gene symbol,19,2198.0,122.65,113.47,34.76,1,0,1.0,0.0,OK
ACOXL,Gene symbol,29,2485.0,137.84,138.47,66.06,0,0,1.0,0.0,OK
ACP1,Gene symbol,7,706.0,153.93,167.76,71.53,0,0,1.0,0.0,OK
ACP2,Gene symbol,13,1374.0,89.47,90.12,48.47,0,0,1.0,0.0,OK
ACP3,Gene symbol,13,1413.0,118.26,110.53,74.29,0,0,1.0,0.0,OK
ACP4,Gene symbol,11,1281.0,57.13,58.24,26.53,2,0,0.98,0.02,WARNING
ACP5,Gene symbol,5,979.0,99.94,104.18,1.12,1,1,1.0,0.0,OK
ACP6,Gene symbol,13,1473.0,118.17,120.88,35.12,0,0,1.0,0.0,OK
ACP7,Gene symbol,11,1413.0,92.98,77.12,45.0,0,0,1.0,0.0,OK
ACR,Gene symbol,6,1340.0,138.41,127.47,114.47,0,0,1.0,0.0,OK
ACRBP,Gene symbol,10,1648.0,136.91,110.5,27.35,1,0,1.0,0.0,OK
ACRV1,Gene symbol,4,798.0,215.82,159.41,112.94,0,0,1.0,0.0,OK
ACSBG1,Gene symbol,19,2451.0,105.41,97.94,28.71,1,0,1.0,0.0,OK
ACSBG2,Gene symbol,16,2165.0,157.85,171.85,8.94,1,1,0.99,0.01,OK
ACSF2,Gene symbol,23,3372.0,119.51,112.71,32.29,0,0,1.0,0.0,OK
ACSF3,Gene symbol,16,2258.0,94.96,86.82,0.06,1,1,1.0,0.0,OK
ACSL1,Gene symbol,23,2326.0,133.86,134.24,55.76,0,0,1.0,0.0,OK
ACSL3,Gene symbol,14,2163.0,154.31,148.44,64.88,0,0,1.0,0.0,OK
ACSL4,Gene symbol,23,2842.0,87.17,98.35,0.0,7,7,1.0,0.0,WARNING
ACSL5,Gene symbol,21,2220.0,123.16,124.71,69.29,0,0,1.0,0.0,OK
ACSL6,Gene symbol,30,2714.0,105.34,96.56,47.47,0,0,1.0,0.0,OK
ACSM1,Gene symbol,16,1771.0,113.96,105.29,64.53,0,0,1.0,0.0,OK
ACSM2A,Gene symbol,15,1846.0,151.58,144.29,72.06,0,0,1.0,0.0,OK
ACSM2B,Gene symbol,15,1780.0,156.38,139.47,82.65,0,0,1.0,0.0,OK
ACSM3,Gene symbol,15,2205.0,162.42,159.59,96.65,0,0,1.0,0.0,OK
ACSM4,Gene symbol,13,1743.0,133.86,124.82,100.29,0,0,1.0,0.0,OK
ACSM5,Gene symbol,13,1790.0,128.99,148.47,39.94,0,0,1.0,0.0,OK
ACSM6,Gene symbol,11,1509.0,127.0,131.76,43.06,0,0,1.0,0.0,OK
ACSS1,Gene symbol,17,2235.0,104.25,107.65,48.82,0,0,1.0,0.0,OK
ACSS2,Gene symbol,23,2254.0,123.42,118.65,29.76,1,0,1.0,0.0,OK
ACSS3,Gene symbol,17,2075.0,126.47,126.88,72.12,0,0,1.0,0.0,OK
ACTA1,Gene symbol,18,1149.0,41.5,11.56,0.0,10,10,0.99,0.01,FAIL
ACTA2,Gene symbol,33,1485.0,45.58,5.82,0.12,20,20,0.99,0.01,FAIL
ACTB,Gene symbol,7,1171.0,103.58,89.29,0.65,1,1,1.0,0.0,OK
ACTBL2,Gene symbol,1,1131.0,468.0,468.0,468.0,0,0,1.0,0.0,OK
ACTC1,Gene symbol,24,1159.0,37.4,2.71,0.06,18,18,0.98,0.02,FAIL
ACTG1,Gene symbol,10,1174.0,81.81,87.41,0.65,4,4,1.0,0.0,WARNING
ACTG2,Gene symbol,11,1400.0,107.73,114.47,24.06,1,0,0.99,0.01,OK
ACTL10,Gene symbol,1,738.0,164.41,164.41,164.41,0,0,1.0,0.0,OK
ACTL6A,Gene symbol,15,1325.0,123.78,127.35,61.0,0,0,1.0,0.0,OK
ACTL6B,Gene symbol,14,1282.0,83.78,74.91,24.18,1,1,0.99,0.01,OK
ACTL7A,Gene symbol,1,1308.0,505.88,505.88,505.88,0,0,1.0,0.0,OK
ACTL7B,Gene symbol,1,1248.0,359.41,359.41,359.41,0,0,1.0,0.0,OK
ACTL8,Gene symbol,2,1101.0,223.76,223.76,150.94,0,0,1.0,0.0,OK
ACTL9,Gene symbol,3,1249.0,95.12,27.88,1.24,2,1,0.95,0.05,OK
ACTN1,Gene symbol,24,3699.0,123.14,104.68,55.24,0,0,1.0,0.0,OK
ACTN2,Gene symbol,82,2951.0,41.39,13.44,0.0,50,45,0.98,0.02,FAIL
ACTN3,Gene symbol,23,3054.0,100.25,98.29,26.76,2,1,0.98,0.02,OK
ACTN4,Gene symbol,28,2931.0,86.59,95.91,0.06,5,5,0.99,0.01,WARNING
ACTR10,Gene symbol,13,1286.0,130.98,147.18,25.47,1,1,0.99,0.01,OK
ACTR1A,Gene symbol,11,1131.0,115.21,118.59,78.82,0,0,1.0,0.0,OK
ACTR1B,Gene symbol,12,1384.0,88.52,85.44,42.18,0,0,1.0,0.0,OK
ACTR2,Gene symbol,11,1239.0,125.25,120.18,66.59,0,0,1.0,0.0,OK
ACTR3,Gene symbol,12,1257.0,132.51,141.88,54.35,0,0,1.0,0.0,OK
ACTR3B,Gene symbol,13,1257.0,120.67,125.76,7.88,1,1,0.96,0.04,OK
ACTR3C,Gene symbol,18,1702.0,131.45,133.06,14.24,3,2,0.95,0.05,WARNING
ACTR5,Gene symbol,9,1824.0,132.86,129.0,82.24,0,0,1.0,0.0,OK
ACTR6,Gene symbol,12,1307.0,160.87,145.88,33.41,0,0,1.0,0.0,OK
ACTR8,Gene symbol,13,1894.0,148.57,134.71,107.06,0,0,1.0,0.0,OK
ACTRT1,Gene symbol,1,1131.0,435.35,435.35,435.35,0,0,1.0,0.0,OK
ACTRT2,Gene symbol,1,1134.0,441.53,441.53,441.53,0,0,1.0,0.0,OK
ACTRT3,Gene symbol,2,1119.0,259.71,259.71,70.12,0,0,1.0,0.0,OK
ACVR1,Gene symbol,23,1545.0,75.94,66.76,0.53,9,7,1.0,0.0,WARNING
ACVR1B,Gene symbol,12,1889.0,144.53,140.0,31.35,1,0,0.99,0.01,OK
ACVR1C,Gene symbol,9,1482.0,124.32,130.71,41.94,1,0,1.0,0.0,OK
ACVR2A,Gene symbol,11,1542.0,132.11,131.24,76.12,0,0,1.0,0.0,OK
ACVR2B,Gene symbol,143,1903.0,34.99,24.0,0.06,92,77,0.97,0.03,FAIL
ACVR2B-AS1,Gene symbol,1,90.0,125.12,125.12,125.12,0,0,1.0,0.0,OK
ACVRL1,Gene symbol,52,1717.0,32.58,8.29,0.0,39,37,0.98,0.02,FAIL
ACY1,Gene symbol,14,1270.0,87.5,72.03,31.0,1,0,0.99,0.01,OK
ACY3,Gene symbol,8,982.0,101.2,94.94,74.76,0,0,1.0,0.0,OK
ACYP1,Gene symbol,5,525.0,165.35,217.65,26.71,1,1,0.94,0.06,OK
ACYP2,Gene symbol,15,2108.0,159.08,131.24,52.71,0,0,1.0,0.0,OK
ADA,Gene symbol,30,1121.0,39.38,8.71,0.0,18,17,0.98,0.02,FAIL
ADA2,Gene symbol,17,1791.0,107.25,156.82,1.59,5,5,1.0,0.0,WARNING
ADAD1,Gene symbol,11,1731.0,157.21,146.24,67.53,0,0,1.0,0.0,OK
ADAD2,Gene symbol,12,2026.0,61.09,52.06,20.29,2,2,0.96,0.04,WARNING
ADAL,Gene symbol,10,1118.0,163.76,165.15,126.65,0,0,1.0,0.0,OK
ADAM10,Gene symbol,19,2451.0,131.67,136.82,44.94,0,0,1.0,0.0,OK
ADAM11,Gene symbol,27,2351.0,67.69,64.94,14.12,3,1,0.97,0.03,WARNING
ADAM12,Gene symbol,24,2840.0,124.35,117.59,23.65,1,1,0.99,0.01,OK
ADAM15,Gene symbol,24,2723.0,73.41,63.91,26.35,3,1,0.98,0.02,OK
ADAM17,Gene symbol,26,2629.0,132.0,147.5,0.71,4,4,1.0,0.0,WARNING
ADAM18,Gene symbol,20,2247.0,148.86,159.94,47.59,0,0,1.0,0.0,OK
ADAM19,Gene symbol,26,2988.0,96.23,100.32,0.41,3,3,0.99,0.01,WARNING
ADAM2,Gene symbol,20,2208.0,156.42,163.85,59.29,0,0,1.0,0.0,OK
ADAM20,Gene symbol,1,2331.0,1424.35,1424.35,1424.35,0,0,1.0,0.0,OK
ADAM21,Gene symbol,9,2169.0,155.12,128.47,33.88,0,0,1.0,0.0,OK
ADAM22,Gene symbol,35,3551.0,134.15,126.82,48.59,0,0,1.0,0.0,OK
ADAM23,Gene symbol,27,2681.0,119.5,124.06,26.0,1,0,0.99,0.01,OK
ADAM28,Gene symbol,27,2577.0,142.22,140.76,13.88,1,1,1.0,0.0,OK
ADAM29,Gene symbol,1,2463.0,1405.41,1405.41,1405.41,0,0,1.0,0.0,OK
ADAM30,Gene symbol,1,2373.0,1566.0,1566.0,1566.0,0,0,1.0,0.0,OK
ADAM32,Gene symbol,28,2624.0,150.37,145.15,65.53,0,0,1.0,0.0,OK
ADAM33,Gene symbol,21,2873.0,76.2,73.82,30.41,2,0,0.99,0.01,OK
ADAM7,Gene symbol,23,2389.0,157.75,146.59,65.76,0,0,1.0,0.0,OK
ADAM7-AS1,Gene symbol,1,27.0,173.94,173.94,173.94,0,0,1.0,0.0,OK
ADAM8,Gene symbol,24,2670.0,69.56,67.09,37.24,0,0,1.0,0.0,WARNING
ADAM9,Gene symbol,54,2803.0,79.16,73.68,0.06,19,18,0.99,0.01,FAIL
ADAMDEC1,Gene symbol,15,1451.0,139.78,120.53,84.82,0,0,1.0,0.0,OK
ADAMTS1,Gene symbol,12,2996.0,138.23,117.56,9.53,2,1,1.0,0.0,OK
ADAMTS10,Gene symbol,58,3560.0,42.83,12.21,0.18,33,32,0.99,0.01,FAIL
ADAMTS12,Gene symbol,27,5206.0,136.55,112.06,53.06,0,0,1.0,0.0,OK
ADAMTS13,Gene symbol,52,4619.0,59.24,73.26,0.0,22,20,0.98,0.02,FAIL
ADAMTS14,Gene symbol,23,3860.0,103.7,91.12,37.71,1,0,1.0,0.0,OK
ADAMTS15,Gene symbol,8,2853.0,126.68,93.62,55.29,0,0,1.0,0.0,OK
ADAMTS16,Gene symbol,23,3687.0,114.95,107.12,35.06,0,0,1.0,0.0,OK
ADAMTS17,Gene symbol,129,4312.0,33.99,5.88,0.0,91,88,0.98,0.02,FAIL
ADAMTS18,Gene symbol,25,3763.0,121.74,123.06,6.12,3,3,0.98,0.02,WARNING
ADAMTS19,Gene symbol,24,3730.0,133.71,125.35,91.35,0,0,1.0,0.0,OK
ADAMTS2,Gene symbol,82,3844.0,38.54,20.47,0.12,50,47,0.97,0.03,FAIL
ADAMTS20,Gene symbol,41,6035.0,145.27,136.12,61.06,0,0,1.0,0.0,OK
ADAMTS3,Gene symbol,23,3630.0,137.5,123.53,71.06,0,0,1.0,0.0,OK
ADAMTS4,Gene symbol,9,2765.0,160.92,145.59,69.0,0,0,1.0,0.0,OK
ADAMTS5,Gene symbol,10,3230.0,158.09,133.24,65.29,0,0,1.0,0.0,OK
ADAMTS6,Gene symbol,29,3569.0,124.96,125.0,45.47,0,0,1.0,0.0,OK
ADAMTS7,Gene symbol,28,5228.0,103.99,87.12,16.41,2,1,1.0,0.0,OK
